temp,feelsLike,pressure,humidity,clouds,windSpeed,windDir,gustSpeed,result
26.6,27.2,986.0,72.0,60.0,1.72,100.0,1.72,1
26.1,26.7,986.0,76.0,94.0,1.92,151.0,2.0,1
25.1,25.9,986.0,84.0,24.0,0.99,145.0,1.0,1
30.7,33.3,982.0,56.0,64.0,1.64,84.0,2.0,1
30.6,33.3,982.0,57.0,90.0,1.84,99.0,2.0,1
28.4,31.1,983.0,68.0,83.0,2.85,75.0,4.0,1
26.8,28.8,984.0,73.0,53.0,3.07,80.0,5.0,1
23.4,24.2,985.0,91.0,100.0,0.57,141.0,1.0,1
23.4,24.2,985.0,91.0,93.0,0.43,224.0,0.43,1
33.0,36.9,964.0,52.0,50.0,5.1,180.0,11.2,1
25.0,25.9,964.0,88.0,50.0,4.1,210.0,5.6,1
25.0,25.9,964.0,88.0,50.0,4.1,210.0,4.8,1
25.0,25.9,967.0,88.0,50.0,2.1,200.0,4.4,1
31.0,33.7,969.0,55.0,50.0,4.6,190.0,8.0,1
32.0,35.6,968.0,55.0,50.0,4.1,200.0,8.4,1
33.0,36.9,967.0,52.0,50.0,4.1,190.0,9.2,1
34.0,38.1,966.0,49.0,50.0,3.1,240.0,8.0,1
33.0,36.9,967.0,52.0,50.0,4.1,250.0,8.4,1
30.0,33.2,966.0,62.0,87.0,5.1,210.0,8.4,1
30.0,33.2,967.0,62.0,99.0,4.6,220.0,6.8,1
29.0,30.7,965.0,58.0,87.0,4.1,20.0,8.4,1
29.0,32.7,965.0,70.0,87.0,2.6,200.0,7.6,1
28.0,31.8,967.0,78.0,100.0,6.7,230.0,6.8,1
26.0,26.5,968.0,69.0,25.0,3.1,210.0,7.6,1
34.0,36.2,962.0,43.0,50.0,7.7,190.0,9.2,1
26.0,26.8,966.0,83.0,87.0,4.1,220.0,5.2,1
25.0,25.9,966.0,88.0,87.0,5.1,220.0,5.1,1
25.0,25.9,966.0,88.0,87.0,5.1,210.0,5.6,1
33.0,36.0,964.0,49.0,25.0,6.2,210.0,9.0,1
30.0,33.2,964.0,62.0,25.0,5.1,210.0,10.0,1
32.0,34.9,965.0,52.0,25.0,5.1,220.0,10.0,1
31.0,33.0,968.0,52.0,25.0,2.1,190.0,7.2,1
33.0,36.0,967.0,49.0,87.0,3.1,200.0,8.4,1
30.0,34.1,963.0,66.0,87.0,7.7,220.0,9.2,1
29.0,32.7,964.0,70.0,87.0,7.7,210.0,8.0,1
35.0,38.5,966.0,44.0,50.0,3.1,170.0,10.0,1
31.0,35.4,964.0,62.0,87.0,6.2,210.0,9.6,1
36.0,37.2,966.0,34.0,50.0,4.1,220.0,8.8,1
35.0,36.1,965.0,36.0,50.0,5.1,230.0,10.0,1
30.0,33.2,964.0,62.0,50.0,5.7,220.0,9.2,1
27.0,29.2,964.0,74.0,50.0,7.7,220.0,10.4,1
33.0,36.0,965.0,49.0,50.0,6.2,210.0,10.8,1
34.0,37.1,964.0,46.0,50.0,7.2,210.0,11.6,1
31.0,35.4,963.0,62.0,50.0,6.2,210.0,8.0,1
24.0,24.8,964.0,88.0,87.0,4.1,220.0,6.8,1
24.0,24.8,963.0,88.0,87.0,4.6,210.0,6.8,1
25.0,25.9,965.0,88.0,87.0,4.1,200.0,8.0,1
25.0,25.6,965.0,78.0,87.0,4.1,200.0,8.0,1
23.0,23.8,963.0,94.0,87.0,6.2,230.0,6.4,1
24.0,24.8,964.0,88.0,87.0,5.1,230.0,5.6,1
25.0,25.7,965.0,83.0,87.0,4.1,230.0,6.4,1
26.0,26.7,965.0,78.0,87.0,4.6,230.0,6.4,1
28.0,30.5,966.0,69.0,87.0,6.2,210.0,8.0,1
29.0,31.8,967.0,65.0,87.0,5.7,200.0,7.2,1
29.0,31.8,967.0,65.0,87.0,7.2,230.0,8.0,1
30.0,33.2,964.0,62.0,87.0,3.6,210.0,8.0,1
26.0,26.7,964.0,78.0,87.0,7.7,220.0,12.0,1
24.0,24.6,964.0,83.0,86.0,7.2,200.0,9.2,1
23.0,23.7,965.0,88.0,87.0,6.2,220.0,8.8,1
23.0,23.7,967.0,88.0,87.0,6.2,210.0,9.6,1
23.0,23.8,967.0,94.0,87.0,6.2,200.0,9.0,1
25.0,25.7,966.0,83.0,50.0,5.1,220.0,8.0,1
24.0,24.6,966.0,83.0,87.0,5.1,220.0,9.2,1
24.0,24.8,967.0,88.0,87.0,4.1,220.0,9.2,1
29.0,31.3,963.0,62.0,50.0,6.2,210.0,10.4,1
28.0,30.0,973.0,65.0,91.0,4.6,220.0,10.0,1
26.0,26.7,965.0,78.0,87.0,5.1,220.0,10.0,1
26.0,26.7,965.0,78.0,87.0,6.2,220.0,10.4,1
26.0,26.6,965.0,73.0,87.0,3.1,220.0,9.6,1
26.0,26.6,965.0,73.0,87.0,4.6,210.0,8.8,1
25.0,25.6,965.0,78.0,87.0,5.7,230.0,8.4,1
25.0,25.6,965.0,78.0,87.0,5.1,210.0,8.8,1
23.0,23.8,965.0,94.0,87.0,4.1,230.0,8.0,1
24.0,24.8,965.0,88.0,87.0,5.1,220.0,8.0,1
26.0,26.8,965.0,83.0,87.0,5.1,220.0,8.0,1
29.0,31.8,965.0,65.0,87.0,6.2,210.0,8.4,1
30.0,32.4,965.0,58.0,87.0,6.7,230.0,8.8,1
32.0,35.6,965.0,55.0,87.0,6.2,220.0,8.8,1
31.0,34.4,965.0,58.0,87.0,7.2,230.0,10.0,1
31.0,34.4,964.0,58.0,87.0,7.2,230.0,9.6,1
30.0,33.2,963.0,62.0,87.0,7.7,210.0,9.0,1
25.0,25.9,966.0,88.0,87.0,4.1,200.0,6.0,1
24.0,24.9,966.0,94.0,87.0,3.1,200.0,6.0,1
32.0,35.6,966.0,55.0,50.0,7.7,210.0,8.0,1
32.0,35.6,965.0,55.0,50.0,3.6,220.0,8.0,1
28.0,31.2,965.0,74.0,87.0,7.2,240.0,8.0,1
30.0,33.2,966.0,62.0,50.0,6.2,220.0,10.0,1
30.0,33.2,965.0,62.0,50.0,6.2,220.0,9.6,1
30.0,33.2,965.0,62.0,50.0,5.1,220.0,10.4,1
29.0,32.7,965.0,70.0,87.0,5.7,220.0,9.6,1
33.0,36.9,965.0,52.0,50.0,3.1,200.0,7.2,1
32.0,34.9,965.0,52.0,50.0,5.1,280.0,8.4,1
33.0,36.0,965.0,49.0,50.0,4.1,260.0,8.0,1
30.0,34.1,965.0,66.0,87.0,3.6,190.0,8.0,1
29.0,33.5,964.0,74.0,87.0,4.6,210.0,9.0,1
33.0,39.2,965.0,59.0,50.0,7.7,220.0,10.0,1
33.0,39.2,965.0,59.0,50.0,5.1,210.0,10.0,1
25.0,25.7,967.0,83.0,50.0,4.1,210.0,7.6,1
25.0,26.0,967.0,94.0,50.0,3.1,210.0,9.0,1
25.0,25.9,966.0,88.0,50.0,3.6,230.0,6.4,1
25.0,25.9,966.0,88.0,50.0,5.1,220.0,6.8,1
32.0,34.9,967.0,52.0,50.0,4.6,190.0,10.0,1
28.0,31.2,964.0,74.0,87.0,7.2,210.0,8.4,1
28.0,30.5,965.0,69.0,87.0,5.1,210.0,8.0,1
27.0,29.6,966.0,78.0,87.0,5.1,210.0,7.2,1
30.0,33.2,965.0,62.0,50.0,7.2,200.0,10.8,1
30.0,34.1,964.0,66.0,50.0,6.7,200.0,8.0,1
30.0,33.2,965.0,62.0,50.0,7.7,210.0,14.8,1
29.0,31.3,965.0,62.0,87.0,8.2,200.0,13.2,1
26.0,27.0,965.0,88.0,87.0,6.2,200.0,11.2,1
24.8,25.6,965.0,86.0,75.0,6.2,230.0,10.0,1
25.0,25.9,966.0,88.0,94.0,5.1,230.0,9.2,1
25.0,25.9,965.0,88.0,87.0,6.7,230.0,8.8,1
24.0,24.9,965.0,94.0,87.0,5.1,230.0,8.8,1
24.0,24.9,965.0,94.0,87.0,7.2,200.0,8.8,1
24.0,24.9,965.0,94.0,87.0,5.7,220.0,8.0,1
24.0,24.9,964.0,94.0,83.0,5.7,220.0,8.0,1
24.0,24.8,966.0,88.0,87.0,4.1,210.0,8.0,1
24.0,24.8,965.0,88.0,85.0,4.1,210.0,8.0,1
28.0,29.6,966.0,61.0,87.0,6.7,220.0,7.0,1
30.0,33.2,965.0,62.0,87.0,5.7,220.0,12.4,1
29.0,32.7,965.0,70.0,87.0,7.2,240.0,12.0,1
27.0,28.8,965.0,69.0,87.0,6.7,220.0,12.8,1
30.0,34.1,966.0,66.0,87.0,7.7,190.0,7.7,1
28.0,31.8,968.0,78.0,50.0,2.6,190.0,5.2,1
28.0,32.6,967.0,83.0,87.0,2.6,320.0,5.6,1
27.0,30.5,968.0,88.0,87.0,2.1,280.0,5.2,1
28.0,30.5,968.0,69.0,87.0,3.1,80.0,5.2,1
25.0,25.9,971.0,88.0,87.0,4.1,40.0,4.8,1
24.0,24.9,970.0,94.0,87.0,1.5,65.0,4.8,1
24.0,24.9,971.0,94.0,87.0,1.5,85.0,4.4,1
24.0,24.9,971.0,94.0,87.0,1.5,110.0,3.6,1
24.0,24.9,970.0,94.0,87.0,1.5,130.0,2.8,1
33.0,36.9,967.0,52.0,50.0,6.7,220.0,8.4,1
29.0,35.4,966.0,83.0,87.0,4.6,240.0,7.6,1
28.0,33.4,967.0,88.0,87.0,3.6,260.0,6.4,1
26.0,27.0,968.0,88.0,87.0,4.1,230.0,4.1,1
29.0,34.5,968.0,79.0,87.0,2.1,180.0,7.2,1
29.0,33.5,968.0,74.0,87.0,4.1,230.0,7.2,1
32.0,36.8,968.0,59.0,50.0,5.1,260.0,7.2,1
28.0,31.2,968.0,74.0,87.0,7.2,70.0,7.2,1
26.0,26.8,968.0,83.0,87.0,4.6,210.0,6.0,1
26.0,26.8,968.0,83.0,87.0,3.1,200.0,7.0,1
25.0,25.9,968.0,88.0,87.0,1.0,200.0,3.0,1
25.0,25.9,968.0,88.0,87.0,1.0,200.0,2.8,1
24.0,24.9,968.0,94.0,87.0,1.5,200.0,2.4,1
26.0,27.0,968.0,88.0,87.0,1.0,200.0,4.0,1
32.0,36.8,968.0,59.0,87.0,2.6,180.0,6.8,1
31.0,35.4,968.0,62.0,87.0,3.1,200.0,7.6,1
24.8,25.6,968.0,88.0,62.0,3.1,180.0,4.0,1
30.0,33.2,965.0,62.0,25.0,5.1,200.0,6.4,1
27.0,29.6,965.0,78.0,25.0,6.2,210.0,6.4,1
28.0,30.5,965.0,69.0,50.0,5.1,210.0,5.6,1
25.0,25.7,965.0,83.0,50.0,2.1,180.0,3.6,1
25.0,25.7,965.0,83.0,50.0,1.5,150.0,4.0,1
25.0,25.7,970.0,83.0,98.0,1.5,0.0,4.4,1
23.0,23.7,965.0,88.0,87.0,2.1,90.0,6.0,1
23.0,23.7,965.0,88.0,87.0,1.5,120.0,6.0,1
23.0,23.7,965.0,88.0,87.0,1.0,150.0,2.4,1
25.0,26.0,965.0,94.0,87.0,1.5,190.0,2.0,1
25.0,25.9,965.0,88.0,87.0,1.0,185.0,1.6,1
25.0,25.9,965.0,88.0,87.0,3.6,180.0,3.6,1
30.0,33.2,965.0,62.0,50.0,2.6,70.0,5.2,1
26.0,26.8,969.0,83.0,50.0,3.1,230.0,3.6,1
26.0,27.0,969.0,88.0,50.0,2.1,190.0,3.2,1
